folder,examples,preprocess_time,fft_time,postprocess_time,baseline_time,RRE,RTE
7-scenes-redkitchen,0 29,0:00:00.116965,0:00:16.801193,0:00:00.005903,0:00:16.937091,14.614014572179988,0.21661656045580116
7-scenes-redkitchen,0 39,0:00:00.101186,0:00:22.589997,0:00:00.005725,0:00:22.706287,2.9028646489301666,0.10662100852712249
7-scenes-redkitchen,1 2,0:00:00.081814,0:00:19.315583,0:00:00.005737,0:00:19.412752,4.419437015299177,0.13851217691729248
7-scenes-redkitchen,1 3,0:00:00.076461,0:00:17.913991,0:00:00.005631,0:00:18.008897,1.931553938406409,0.0561627671366267
7-scenes-redkitchen,1 4,0:00:00.085451,0:00:20.901691,0:00:00.005768,0:00:21.002392,6.044743596380265,0.08428650608978534
7-scenes-redkitchen,1 5,0:00:00.084631,0:00:20.950755,0:00:00.005811,0:00:21.054251,9.551293361785175,0.05231039620298983
7-scenes-redkitchen,1 10,0:00:00.085526,0:00:19.326603,0:00:00.006038,0:00:19.431354,3.872298472580008,0.060301038263920505
7-scenes-redkitchen,1 11,0:00:00.077941,0:00:18.257069,0:00:00.005882,0:00:18.353823,5.016946089759314,0.11895922822496625
7-scenes-redkitchen,1 12,0:00:00.076211,0:00:16.488607,0:00:00.005880,0:00:16.580535,3.8584069373789234,0.03611560926233407
7-scenes-redkitchen,1 13,0:00:00.078078,0:00:13.910397,0:00:00.005920,0:00:14.004643,5.013933941745994,0.11071006237978895
7-scenes-redkitchen,1 14,0:00:00.076382,0:00:13.447985,0:00:00.006130,0:00:13.540120,3.2515046342024876,0.08085008889005176
7-scenes-redkitchen,1 26,0:00:00.113678,0:00:24.704792,0:00:00.005780,0:00:24.835510,8.940248424901688,0.3529257622412248
7-scenes-redkitchen,1 27,0:00:00.113783,0:00:29.068514,0:00:00.005776,0:00:29.200946,95.49257901748312,3.6656382017633047
7-scenes-redkitchen,1 28,0:00:00.084896,0:00:20.698345,0:00:00.005829,0:00:20.803048,10.759198438087124,0.3762256312336131
7-scenes-redkitchen,1 29,0:00:00.087251,0:00:16.688829,0:00:00.005788,0:00:16.795337,8.871156977355248,0.31695417390367736
7-scenes-redkitchen,1 31,0:00:00.071643,0:00:15.525937,0:00:00.005817,0:00:15.616877,4.833242751822874,0.11861988584982977
7-scenes-redkitchen,1 32,0:00:00.072875,0:00:15.837010,0:00:00.005737,0:00:15.929408,13.696226401403475,0.35566357480417343
7-scenes-redkitchen,1 40,0:00:00.086701,0:00:22.155229,0:00:00.005734,0:00:22.262110,5.873357278914625,0.2900894112264834
7-scenes-redkitchen,2 3,0:00:00.082806,0:00:17.879174,0:00:00.005841,0:00:17.977195,1.6792496911559869,0.07973415640138062
7-scenes-redkitchen,2 11,0:00:00.113781,0:00:18.271849,0:00:00.005515,0:00:18.403927,6.628657665517702,0.31732020717254394
7-scenes-redkitchen,2 12,0:00:00.124435,0:00:16.043570,0:00:00.005852,0:00:16.183825,3.7511606863418927,0.08194871164305001
7-scenes-redkitchen,2 13,0:00:00.076240,0:00:13.703557,0:00:00.005757,0:00:13.794961,5.230478615916476,0.14919420245394197
7-scenes-redkitchen,2 14,0:00:00.091396,0:00:12.793954,0:00:00.005826,0:00:12.900818,3.9170149888549006,0.08857120347425347
7-scenes-redkitchen,2 27,0:00:00.112701,0:00:28.857420,0:00:00.005849,0:00:28.985543,9.37284009665046,0.4996654873216354
7-scenes-redkitchen,2 28,0:00:00.089106,0:00:20.623155,0:00:00.005620,0:00:20.730523,10.81890420947169,0.42500184807540514
7-scenes-redkitchen,2 29,0:00:00.078174,0:00:15.941063,0:00:00.005920,0:00:16.037897,7.452140699354924,0.22720780585260192
7-scenes-redkitchen,2 30,0:00:00.074985,0:00:13.824964,0:00:00.005886,0:00:13.915024,12.111803202277747,0.31254649915563687
7-scenes-redkitchen,2 31,0:00:00.073153,0:00:15.109396,0:00:00.005816,0:00:15.199136,2.3365922245126445,0.05554320017560053
7-scenes-redkitchen,2 40,0:00:00.092515,0:00:21.673796,0:00:00.005829,0:00:21.782381,6.492696952818227,0.32894534834888417
7-scenes-redkitchen,2 41,0:00:00.101940,0:00:24.092761,0:00:00.005898,0:00:24.212058,3.220252566679047,0.025486879583285705
7-scenes-redkitchen,2 42,0:00:00.077654,0:00:15.757865,0:00:00.005798,0:00:15.855138,2.562595262441591,0.13873823781275882
7-scenes-redkitchen,3 4,0:00:00.086794,0:00:20.621147,0:00:00.006402,0:00:20.723608,7.509869400313432,0.1417795218676779
7-scenes-redkitchen,3 5,0:00:00.079117,0:00:21.167402,0:00:00.005834,0:00:21.265366,4.694228576872693,0.1755429356451944
7-scenes-redkitchen,3 10,0:00:00.081638,0:00:18.790997,0:00:00.005768,0:00:18.891267,2.8427188145361386,0.09710865322818847
7-scenes-redkitchen,3 11,0:00:00.077348,0:00:17.774638,0:00:00.005841,0:00:17.867215,4.039016887114271,0.13898383393011127
7-scenes-redkitchen,3 12,0:00:00.090076,0:00:16.066496,0:00:00.006744,0:00:16.172962,3.4557628170813537,0.09491113641996028
7-scenes-redkitchen,3 13,0:00:00.067766,0:00:13.358097,0:00:00.005855,0:00:13.442307,3.753021080966872,0.08490410430747378
7-scenes-redkitchen,3 14,0:00:00.075454,0:00:12.577357,0:00:00.005927,0:00:12.668085,4.4326093922257614,0.15779315266165048
7-scenes-redkitchen,3 26,0:00:00.097937,0:00:24.530054,0:00:00.005798,0:00:24.648052,1.0574528711940903,0.05751604797199053
7-scenes-redkitchen,3 27,0:00:00.109653,0:00:29.191265,0:00:00.005844,0:00:29.319526,4.634283518815357,0.21200932998407568
7-scenes-redkitchen,3 28,0:00:00.084269,0:00:20.098930,0:00:00.005800,0:00:20.198621,4.218192017409564,0.1882414164904145
7-scenes-redkitchen,3 29,0:00:00.074883,0:00:15.762610,0:00:00.005935,0:00:15.856198,8.17261384502578,0.25700246647775127
7-scenes-redkitchen,3 30,0:00:00.079865,0:00:13.588655,0:00:00.005140,0:00:13.683467,8.046710151977837,0.23988043236363796
7-scenes-redkitchen,3 40,0:00:00.094160,0:00:21.621609,0:00:00.005826,0:00:21.736786,3.6395843541185027,0.15119074260990994
7-scenes-redkitchen,3 41,0:00:00.095593,0:00:23.767764,0:00:00.005754,0:00:23.882141,4.067354360531179,0.17476913522219076
7-scenes-redkitchen,3 42,0:00:00.078103,0:00:15.721265,0:00:00.005826,0:00:15.815293,2.81352741643412,0.0670462842760315
7-scenes-redkitchen,3 43,0:00:00.072328,0:00:13.108881,0:00:00.005941,0:00:13.196832,2.0125219486156123,0.05245748573148191
7-scenes-redkitchen,3 44,0:00:00.066400,0:00:11.462006,0:00:00.005900,0:00:11.543832,5.249770393002874,0.08202428214123336
7-scenes-redkitchen,3 45,0:00:00.062556,0:00:11.080804,0:00:00.005862,0:00:11.158711,6.771525261124386,0.18519385247506082
