folder,examples,time,RRE,RTE
7-scenes-redkitchen,3 44,0:00:00.930642,1.3953689956877238,0.045477403288529235
7-scenes-redkitchen,3 45,0:00:00.788419,1.2283523168020323,0.04077544223674237
7-scenes-redkitchen,4 5,0:00:25.878306,0.33545292857471054,0.015590436745710486
7-scenes-redkitchen,4 6,0:00:02.553139,1.094404175426225,0.059481645190064145
7-scenes-redkitchen,4 7,0:00:03.993681,1.2186572093641685,0.08945259382173584
7-scenes-redkitchen,4 9,0:00:05.233920,0.8632565982407866,0.03305883839528339
7-scenes-redkitchen,4 10,0:00:01.960078,0.901237888411582,0.015202977404414293
7-scenes-redkitchen,4 11,0:00:02.568097,0.7410728615442052,0.007454235439977854
7-scenes-redkitchen,4 12,0:00:01.720852,0.844820802705795,0.00620457336112486
7-scenes-redkitchen,4 13,0:00:01.192056,1.4192731148660607,0.02037533266570087
7-scenes-redkitchen,4 14,0:00:01.864999,2.671056802763142,0.05090744291693143
7-scenes-redkitchen,4 15,0:00:01.035639,2.149393019595328,0.060944858563885124
7-scenes-redkitchen,4 18,0:00:02.573040,1.2188512252163146,0.0741911238205168
7-scenes-redkitchen,4 19,0:00:05.458865,1.4817389956234868,0.054725320504354975
7-scenes-redkitchen,4 25,0:00:01.467828,1.5978488432778215,0.031248742930831405
7-scenes-redkitchen,4 26,0:00:03.310422,1.9263926188734837,0.04590664881453754
7-scenes-redkitchen,4 27,0:00:07.314253,93.59677996454953,3.479886279627112
7-scenes-redkitchen,4 37,0:00:03.001555,1.6827074662919954,0.09191938334110523
7-scenes-redkitchen,4 38,0:00:19.946189,2.1091293477743926,0.508095511077763
7-scenes-redkitchen,4 39,0:00:03.111907,1.948706975089027,0.09437402008953279
7-scenes-redkitchen,5 6,0:00:04.145389,0.75817663505623,0.03455215260634629
7-scenes-redkitchen,5 7,0:00:05.403346,1.2302625540277856,0.06672588641693615
7-scenes-redkitchen,5 8,0:00:03.768618,1.4740469333371933,0.7224300100533086
7-scenes-redkitchen,5 9,0:00:02.001783,0.8921012558907097,0.02532522778166873
7-scenes-redkitchen,5 10,0:00:03.473763,0.8250455257091979,0.010677313176596209
7-scenes-redkitchen,5 11,0:00:02.462397,0.7970633936015202,0.016444442997414658
7-scenes-redkitchen,5 12,0:00:01.787746,0.987320206362307,0.006256529813079283
7-scenes-redkitchen,5 15,0:00:02.446171,1.9682453915837932,0.016894780497585648
